date,year,month,day,date_type,line_name,station_name,daily_in_passengers,daily_out_passengers,daily_total_passengers
2026-02-28,2026,2,28,주말,2호선,홍대입구역,82154,85603,167757
2026-03-01,2026,3,1,공휴일,2호선,홍대입구역,76421,79884,156305
2026-03-02,2026,3,2,공휴일,2호선,홍대입구역,69318,72107,141425
2026-03-03,2026,3,3,평일,2호선,홍대입구역,91246,94873,186119
2026-04-01,2026,4,1,평일,2호선,홍대입구역,93418,96752,190170
2026-04-29,2026,4,29,평일,2호선,홍대입구역,94627,98104,192731
2026-04-30,2026,4,30,평일,2호선,홍대입구역,95786,99325,195111
